OID_,NAME_2,ZONE_CODE,COUNT,AREA,MEAN
1,AberdeenCity,1,12734.000000000000000,0.008843055484811,0.281680813185984
2,Aberdeenshire,2,21997.000000000000000,0.015275694322239,0.192975978097249
3,Angus,3,9313.000000000000000,0.006467361059372,0.219981848647309
4,AntrimandNewtownabbey,4,12231.000000000000000,0.008493749932050,0.174765346338438
5,ArdsandNorthDown,5,12676.000000000000000,0.008802777707356,0.181618341525969
6,ArgyllandBute,6,9386.000000000000000,0.006518055503411,0.158215163870377
7,"ArmaghCity,BanbridgeandCraig",7,17247.000000000000000,0.011977083237517,0.187061137837021
8,Barnsley,8,17678.000000000000000,0.012276388790678,0.228036737265028
9,BathandNorthEastSomerset,9,9996.000000000000000,0.006941666611133,0.309983718429874
10,Bedford,10,11553.000000000000000,0.008022916602483,0.228743839476969
11,Belfast,11,16069.000000000000000,0.011159027688506,0.295488317815871
12,Birmingham,12,42140.000000000000000,0.029263888654778,0.425060608097920
13,BlackburnwithDarwen,13,6884.000000000000000,0.004780555517311,0.401491113475571
14,Blackpool,14,5772.000000000000000,0.004008333301267,0.428233957038085
15,BlaenauGwent,15,4652.000000000000000,0.003230555529711,0.290375771081061
16,Bolton,16,13223.000000000000000,0.009182638815428,0.317403111879778
17,"Bournemouth,ChristchurchandPo",17,18085.000000000000000,0.012559027677306,0.488486868577973
18,BracknellForest,18,6822.000000000000000,0.004737499962100,0.252257793680271
19,Bradford,19,22516.000000000000000,0.015636110986022,0.383230709576078
20,Bridgend,20,9241.000000000000000,0.006417361059772,0.312194632865295
21,BrightonandHove,21,7963.000000000000000,0.005529861066872,0.693532884755781
22,"Bristol,Cityof",22,16242.000000000000000,0.011279166576433,0.494286688946133
23,Buckinghamshire,23,42412.000000000000000,0.029452777542156,0.185887307434968
24,Bury,24,9054.000000000000000,0.006287499949700,0.300334277015514
25,Caerphilly,25,10054.000000000000000,0.006981944388589,0.361910669079340
26,Calderdale,26,10785.000000000000000,0.007489583273417,0.298173462283678
27,Cambridgeshire,27,56114.000000000000000,0.038968055243811,0.240173450797705
28,Cardiff,28,14914.000000000000000,0.010356944361589,0.439948833486771
29,Carmarthenshire,29,16785.000000000000000,0.011656249906750,0.216992691498209
30,CausewayCoastandGlens,30,15462.000000000000000,0.010737499914100,0.137799139658251
31,CentralBedfordshire,31,20760.000000000000000,0.014416666551333,0.201989957512851
32,Ceredigion,32,6299.000000000000000,0.004374305520561,0.235427550452695
33,CheshireEast,33,38291.000000000000000,0.026590972009494,0.185084374881601
34,CheshireWestandChester,34,38255.000000000000000,0.026565972009694,0.167765194228554
35,CityofEdinburgh,35,22187.000000000000000,0.015407638765628,0.378883215500230
36,Clackmannanshire,36,4111.000000000000000,0.002854861088272,0.223062555497429
37,Conwy,37,8175.000000000000000,0.005677083287917,0.283147533107549
38,Cornwall,38,48398.000000000000000,0.033609721953344,0.246727575158591
39,CountyDurham,39,45289.000000000000000,0.031450694192839,0.209879626063356
40,Coventry,40,13436.000000000000000,0.009330555480911,0.380189872407504
41,Cumbria,41,46276.000000000000000,0.032136110854022,0.227407056473924
42,Darlington,42,7940.000000000000000,0.005513888844778,0.250960379525076
43,Denbighshire,43,9394.000000000000000,0.006523611058922,0.193511850629721
44,Derby,44,11688.000000000000000,0.008116666601733,0.398214462178894
45,Derbyshire,45,78103.000000000000000,0.054238194010539,0.174063782336353
46,DerryCityandStrabane,46,12501.000000000000000,0.008681249930550,0.175153212424439
47,Devon,47,52943.000000000000000,0.036765971928094,0.309935418947769
48,Doncaster,48,26205.000000000000000,0.018197916521083,0.199913083674658
49,Dorset,49,28643.000000000000000,0.019890972063094,0.288447744842451
50,Dudley,50,15287.000000000000000,0.010615972137294,0.321679430876564
51,DumfriesandGalloway,51,18425.000000000000000,0.012795138786528,0.137455792032255
52,DundeeCity,52,8208.000000000000000,0.005699999954400,0.302146089244821
53,EastAyrshire,53,10030.000000000000000,0.006965277722056,0.204555250567690
54,EastDunbartonshire,54,6946.000000000000000,0.004823611072522,0.243902094907456
55,EastLothian,55,8435.000000000000000,0.005857638842028,0.216462803839098
56,EastRenfrewshire,56,5420.000000000000000,0.003763888858778,0.279678971739787
57,EastRidingofYorkshire,57,33560.000000000000000,0.023305555369111,0.197045873788519
58,EastSussex,58,33388.000000000000000,0.023186110925622,0.308552791908841
59,Essex,59,110677.000000000000000,0.076859027162906,0.239088182449644
60,Falkirk,60,13065.000000000000000,0.009072916594083,0.213422433159610
61,FermanaghandOmagh,61,13391.000000000000000,0.009299305481161,0.128835652676439
62,Fife,62,31258.000000000000000,0.021706944270789,0.202709415794136
63,Flintshire,63,13911.000000000000000,0.009660416589383,0.189447436271821
64,Gateshead,64,11658.000000000000000,0.008095833268567,0.320600826462829
65,GlasgowCity,65,26516.000000000000000,0.018413888741578,0.375981714861375
66,Gloucestershire,66,51560.000000000000000,0.035805555269111,0.205844606374836
67,GreaterLondon,67,223266.000000000000000,0.155045832092967,0.459136439185477
68,Gwynedd,68,13303.000000000000000,0.009238194370539,0.183293219054808
69,Halton,69,9391.000000000000000,0.006521527725606,0.247129443423956
70,Hampshire,70,89499.000000000000000,0.062152082836117,0.273170872765006
71,Hartlepool,71,6844.000000000000000,0.004752777739756,0.246956068840073
72,"Herefordshire,Countyof",72,21595.000000000000000,0.014996527657806,0.171274588784029
73,Hertfordshire,73,67936.000000000000000,0.047177777400356,0.278915933458338
74,Highland,74,24872.000000000000000,0.017272222084044,0.188438357577878
75,Inverclyde,75,4345.000000000000000,0.003017361086972,0.282994173969205
76,IsleofAnglesey,76,6724.000000000000000,0.004669444407089,0.207750454470227
77,IsleofWight,77,10025.000000000000000,0.006961805499861,0.251122673743746
78,IslesofScilly,78,501.000000000000000,0.000347916663883,0.091797176796846
79,Kent,79,107446.000000000000000,0.074615277180856,0.253598695459435
80,"KingstonuponHull,Cityof",80,11562.000000000000000,0.008029166602433,0.432773214644094
81,Kirklees,81,24452.000000000000000,0.016980555419711,0.278851195590976
82,Knowsley,82,8130.000000000000000,0.005645833288167,0.307518835745717
83,Lancashire,83,79354.000000000000000,0.055106944003589,0.267622902920552
84,Leeds,84,46107.000000000000000,0.032018749743850,0.255269755831664
85,Leicester,85,11476.000000000000000,0.007969444380689,0.518895222649906
86,Leicestershire,86,60220.000000000000000,0.041819444109889,0.179733841733156
87,Lincolnshire,87,102814.000000000000000,0.071398610539922,0.160702411210596
88,LisburnandCastlereagh,88,11725.000000000000000,0.008142361045972,0.180770213181860
89,Liverpool,89,18050.000000000000000,0.012534722121944,0.477563435341143
90,Luton,90,6874.000000000000000,0.004773611072922,0.508984144890022
91,Manchester,91,18310.000000000000000,0.012715277676056,0.492319118426214
92,Medway,92,14434.000000000000000,0.010023611030922,0.328283789284474
93,MerthyrTydfil,93,3818.000000000000000,0.002651388867678,0.311320979068018
94,MidandEastAntrim,94,12509.000000000000000,0.008686805486061,0.162685238487802
95,Middlesbrough,95,6923.000000000000000,0.004807638850428,0.361424376945873
96,Midlothian,96,6003.000000000000000,0.004168749966650,0.237364482532561
97,MidUlster,97,14229.000000000000000,0.009881249920950,0.158748341100089
98,MiltonKeynes,98,16515.000000000000000,0.011468749908250,0.264381061619647
99,Monmouthshire,99,6551.000000000000000,0.004549305519161,0.250477961342315
100,Moray,100,9641.000000000000000,0.006695138835328,0.198188881862945
101,Nah-EileananSiar,101,2258.000000000000000,0.001568055543011,0.197416278139537
102,NeathPortTalbot,102,13169.000000000000000,0.009145138815728,0.213165477567969
103,NewcastleuponTyne,103,12981.000000000000000,0.009014583261217,0.413937265285253
104,Newport,104,10201.000000000000000,0.007084027721106,0.255526279967030
105,"Newry,MourneandDown",105,14878.000000000000000,0.010331944361789,0.180422814164673
106,Norfolk,106,95101.000000000000000,0.066042360582772,0.188194911333033
107,Northamptonshire,107,56233.000000000000000,0.039050694132039,0.209037754555353
108,NorthAyrshire,108,10929.000000000000000,0.007589583272617,0.212056667275380
109,NorthEastLincolnshire,109,10440.000000000000000,0.007249999942000,0.287708430507492
110,NorthLanarkshire,110,24489.000000000000000,0.017006249863950,0.237657995198454
111,NorthLincolnshire,111,26471.000000000000000,0.018382638741828,0.128326318398786
112,NorthSomerset,112,14890.000000000000000,0.010340277695056,0.245692224673343
113,NorthTyneside,113,11865.000000000000000,0.008239583267417,0.315642747678234
114,Northumberland,114,30800.000000000000000,0.021388888717778,0.188367551320025
115,NorthYorkshire,115,74141.000000000000000,0.051486805143661,0.164604246897613
116,Nottingham,116,11762.000000000000000,0.008168055490211,0.494714510004183
117,Nottinghamshire,117,70362.000000000000000,0.048862499609100,0.197003324190174
118,Oldham,118,9778.000000000000000,0.006790277723456,0.340539430942574
119,OrkneyIslands,119,2342.000000000000000,0.001626388875878,0.180040045856100
120,Oxfordshire,120,51702.000000000000000,0.035904166379433,0.201442152312460
121,Pembrokeshire,121,15260.000000000000000,0.010597222137444,0.164358709937131
122,PerthandKinross,122,14386.000000000000000,0.009990277697856,0.183710735000487
123,Peterborough,123,12203.000000000000000,0.008474305487761,0.339206384393682
124,Plymouth,124,10674.000000000000000,0.007412499940700,0.528337615840213
125,Portsmouth,125,6908.000000000000000,0.004797222183844,0.565761788913491
126,Powys,126,19535.000000000000000,0.013565972113694,0.120783737063090
127,Reading,127,6199.000000000000000,0.004304861076672,0.402199579482826
128,RedcarandCleveland,128,10884.000000000000000,0.007558333272867,0.215664325485843
129,Renfrewshire,129,11792.000000000000000,0.008188888823378,0.246488260913648
130,RhonddaCynonTaf,130,13386.000000000000000,0.009295833258967,0.342664739073961
131,Rochdale,131,10707.000000000000000,0.007435416607183,0.291271354565423
132,Rotherham,132,20889.000000000000000,0.014506249883950,0.210729507414990
133,Rutland,133,6369.000000000000000,0.004422916631283,0.100070465426026
134,Salford,134,11932.000000000000000,0.008286111044822,0.301764392323128
135,Sandwell,135,14172.000000000000000,0.009841666587933,0.360410019276164
136,ScottishBorders,136,12643.000000000000000,0.008779861040872,0.157345170829597
137,Sefton,137,14920.000000000000000,0.010361111028222,0.313092867263102
138,Sheffield,138,29058.000000000000000,0.020179166505233,0.335477748087013
139,ShetlandIslands,139,29843.000000000000000,0.020724305389761,0.015226114936563
140,Shropshire,140,42160.000000000000000,0.029277777543556,0.139509265623048
141,Slough,141,5034.000000000000000,0.003495833305367,0.474696964230993
142,Solihull,142,13487.000000000000000,0.009365972147294,0.245027013416682
143,Somerset,143,42867.000000000000000,0.029768749761850,0.278618418295699
144,Southampton,144,8192.000000000000000,0.005688888843378,0.548530168397661
145,SouthAyrshire,145,9318.000000000000000,0.006470833281567,0.199787047456957
146,Southend-on-Sea,146,6566.000000000000000,0.004559722185744,0.511121932061844
147,SouthGloucestershire,147,17647.000000000000000,0.012254861013072,0.268284096046934
148,SouthLanarkshire,148,25343.000000000000000,0.017599305414761,0.210607241750870
149,SouthTyneside,149,8236.000000000000000,0.005719444398689,0.311686498358112
150,St.Helens,150,10275.000000000000000,0.007135416609583,0.297766101085229
151,Staffordshire,151,87794.000000000000000,0.060968055067811,0.181095693217309
152,Stirling,152,8057.000000000000000,0.005595138844128,0.195222383427873
153,Stockport,153,14001.000000000000000,0.009722916588883,0.289748830539055
154,Stockton-on-Tees,154,15724.000000000000000,0.010919444357089,0.230887262925096
155,Stoke-on-Trent,155,12973.000000000000000,0.009009027705706,0.353541139308332
156,Suffolk,156,68335.000000000000000,0.047454860731472,0.223254350075468
157,Sunderland,157,17422.000000000000000,0.012098611014322,0.277999769435439
158,Surrey,158,79204.000000000000000,0.055002777337756,0.280777852950075
159,Swansea,159,15511.000000000000000,0.010771527691606,0.325310458728830
160,Swindon,160,10944.000000000000000,0.007599999939200,0.370897084037411
161,Tameside,161,10187.000000000000000,0.007074305498961,0.316507444651302
162,TelfordandWrekin,162,17544.000000000000000,0.012183333235867,0.177861056863698
163,Thurrock,163,13890.000000000000000,0.009645833256167,0.221585093422272
164,Torbay,164,6200.000000000000000,0.004305555521111,0.443672456493480
165,Torfaen,165,5494.000000000000000,0.003815277747256,0.321449087079530
166,Trafford,166,12723.000000000000000,0.008835416595983,0.274015480480881
167,ValeofGlamorgan,167,10581.000000000000000,0.007347916607883,0.213105678490311
168,Wakefield,168,26610.000000000000000,0.018479166518833,0.189343443827130
169,Walsall,169,13362.000000000000000,0.009279166592433,0.328772351972937
170,Warrington,170,14762.000000000000000,0.010251388806878,0.263911404296279
171,Warwickshire,171,49496.000000000000000,0.034372221947244,0.225933540915445
172,WestBerkshire,172,12598.000000000000000,0.008748611041122,0.191905976039670
173,WestDunbartonshire,173,5685.000000000000000,0.003947916635083,0.254833361312334
174,WestLothian,174,14677.000000000000000,0.010192361029572,0.218568458001594
175,WestSussex,175,52630.000000000000000,0.036548610818722,0.301569552221588
176,Wigan,176,16494.000000000000000,0.011454166575033,0.290553049059884
177,Wiltshire,177,39936.000000000000000,0.027733333111467,0.215676052282588
178,WindsorandMaidenhead,178,10468.000000000000000,0.007269444386289,0.219461818094364
179,Wirral,179,15731.000000000000000,0.010924305468161,0.347417321709905
180,Wokingham,180,11000.000000000000000,0.007638888827778,0.215063900941263
181,Wolverhampton,181,11769.000000000000000,0.008172916601283,0.341460220258307
182,Worcestershire,182,54107.000000000000000,0.037574305254961,0.207417519833997
183,Wrexham,183,11664.000000000000000,0.008099999935200,0.204350540293416
184,York,184,10900.000000000000000,0.007569444383889,0.384720805489090
